Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
5.64178	node2	0	56	LastDelay	0.0417792	41779.2	1	2
5.64178	node2	0	56	FullDelay	0.0417792	41779.2	1	2
5.74178	node2	0	57	LastDelay	0.0417792	41779.2	1	2
5.74178	node2	0	57	FullDelay	0.0417792	41779.2	1	2
5.84178	node2	0	58	LastDelay	0.0417792	41779.2	1	2
5.84178	node2	0	58	FullDelay	0.0417792	41779.2	1	2
5.94178	node2	0	59	LastDelay	0.0417792	41779.2	1	2
5.94178	node2	0	59	FullDelay	0.0417792	41779.2	1	2
6.04178	node2	0	60	LastDelay	0.0417792	41779.2	1	2
6.04178	node2	0	60	FullDelay	0.0417792	41779.2	1	2
6.14178	node2	0	61	LastDelay	0.0417792	41779.2	1	2
6.14178	node2	0	61	FullDelay	0.0417792	41779.2	1	2
6.26267	node2	0	62	LastDelay	0.0626688	62668.8	1	3
6.26267	node2	0	62	FullDelay	0.0626688	62668.8	1	3
6.36267	node2	0	63	LastDelay	0.0626688	62668.8	1	3
6.36267	node2	0	63	FullDelay	0.0626688	62668.8	1	3
6.44178	node2	0	64	LastDelay	0.0417792	41779.2	1	2
6.44178	node2	0	64	FullDelay	0.0417792	41779.2	1	2
6.54178	node2	0	65	LastDelay	0.0417792	41779.2	1	2
6.54178	node2	0	65	FullDelay	0.0417792	41779.2	1	2
6.64178	node2	0	66	LastDelay	0.0417792	41779.2	1	2
6.64178	node2	0	66	FullDelay	0.0417792	41779.2	1	2
6.74178	node2	0	67	LastDelay	0.0417792	41779.2	1	2
6.74178	node2	0	67	FullDelay	0.0417792	41779.2	1	2
6.86267	node2	0	68	LastDelay	0.0626688	62668.8	1	3
6.86267	node2	0	68	FullDelay	0.0626688	62668.8	1	3
6.96267	node2	0	69	LastDelay	0.0626688	62668.8	1	3
6.96267	node2	0	69	FullDelay	0.0626688	62668.8	1	3
7.04178	node2	0	70	LastDelay	0.0417792	41779.2	1	2
7.04178	node2	0	70	FullDelay	0.0417792	41779.2	1	2
7.14178	node2	0	71	LastDelay	0.0417792	41779.2	1	2
7.14178	node2	0	71	FullDelay	0.0417792	41779.2	1	2
7.24178	node2	0	72	LastDelay	0.0417792	41779.2	1	2
7.24178	node2	0	72	FullDelay	0.0417792	41779.2	1	2
7.34178	node2	0	73	LastDelay	0.0417792	41779.2	1	2
7.34178	node2	0	73	FullDelay	0.0417792	41779.2	1	2
7.46267	node2	0	74	LastDelay	0.0626688	62668.8	1	3
7.46267	node2	0	74	FullDelay	0.0626688	62668.8	1	3
7.56267	node2	0	75	LastDelay	0.0626688	62668.8	1	3
7.56267	node2	0	75	FullDelay	0.0626688	62668.8	1	3
7.64178	node2	0	76	LastDelay	0.0417792	41779.2	1	2
7.64178	node2	0	76	FullDelay	0.0417792	41779.2	1	2
7.74178	node2	0	77	LastDelay	0.0417792	41779.2	1	2
7.74178	node2	0	77	FullDelay	0.0417792	41779.2	1	2
7.84178	node2	0	78	LastDelay	0.0417792	41779.2	1	2
7.84178	node2	0	78	FullDelay	0.0417792	41779.2	1	2
7.94178	node2	0	79	LastDelay	0.0417792	41779.2	1	2
7.94178	node2	0	79	FullDelay	0.0417792	41779.2	1	2
8.06267	node2	0	80	LastDelay	0.0626688	62668.8	1	3
8.06267	node2	0	80	FullDelay	0.0626688	62668.8	1	3
8.16267	node2	0	81	LastDelay	0.0626688	62668.8	1	3
8.16267	node2	0	81	FullDelay	0.0626688	62668.8	1	3
8.24178	node2	0	82	LastDelay	0.0417792	41779.2	1	2
8.24178	node2	0	82	FullDelay	0.0417792	41779.2	1	2
8.34178	node2	0	83	LastDelay	0.0417792	41779.2	1	2
8.34178	node2	0	83	FullDelay	0.0417792	41779.2	1	2
8.44178	node2	0	84	LastDelay	0.0417792	41779.2	1	2
8.44178	node2	0	84	FullDelay	0.0417792	41779.2	1	2
8.54178	node2	0	85	LastDelay	0.0417792	41779.2	1	2
8.54178	node2	0	85	FullDelay	0.0417792	41779.2	1	2
8.66267	node2	0	86	LastDelay	0.0626688	62668.8	1	3
8.66267	node2	0	86	FullDelay	0.0626688	62668.8	1	3
8.76267	node2	0	87	LastDelay	0.0626688	62668.8	1	3
8.76267	node2	0	87	FullDelay	0.0626688	62668.8	1	3
8.84178	node2	0	88	LastDelay	0.0417792	41779.2	1	2
8.84178	node2	0	88	FullDelay	0.0417792	41779.2	1	2
8.94178	node2	0	89	LastDelay	0.0417792	41779.2	1	2
8.94178	node2	0	89	FullDelay	0.0417792	41779.2	1	2
9.04178	node2	0	90	LastDelay	0.0417792	41779.2	1	2
9.04178	node2	0	90	FullDelay	0.0417792	41779.2	1	2
9.14178	node2	0	91	LastDelay	0.0417792	41779.2	1	2
9.14178	node2	0	91	FullDelay	0.0417792	41779.2	1	2
9.26267	node2	0	92	LastDelay	0.0626688	62668.8	1	3
9.26267	node2	0	92	FullDelay	0.0626688	62668.8	1	3
9.36267	node2	0	93	LastDelay	0.0626688	62668.8	1	3
9.36267	node2	0	93	FullDelay	0.0626688	62668.8	1	3
9.44178	node2	0	94	LastDelay	0.0417792	41779.2	1	2
9.44178	node2	0	94	FullDelay	0.0417792	41779.2	1	2
9.54178	node2	0	95	LastDelay	0.0417792	41779.2	1	2
9.54178	node2	0	95	FullDelay	0.0417792	41779.2	1	2
9.64178	node2	0	96	LastDelay	0.0417792	41779.2	1	2
9.64178	node2	0	96	FullDelay	0.0417792	41779.2	1	2
9.74178	node2	0	97	LastDelay	0.0417792	41779.2	1	2
9.74178	node2	0	97	FullDelay	0.0417792	41779.2	1	2
9.84178	node2	0	98	LastDelay	0.0417792	41779.2	1	2
9.84178	node2	0	98	FullDelay	0.0417792	41779.2	1	2
9.94178	node2	0	99	LastDelay	0.0417792	41779.2	1	2
9.94178	node2	0	99	FullDelay	0.0417792	41779.2	1	2
